,name,github_id,docs_url,category,label,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,Lovelace button-card,custom-cards/button-card,https://github.com/custom-cards/button-card,custom-cards,hacs,https://github.com/custom-cards/button-card,https://github.com/custom-cards/button-card,MIT,2018-08-26 15:50:44,2023-04-02 16:02:11,2023-04-02 15:02:33,267,10.0,174,45,145,170,362,1361,2023-04-02 15:02:42,3.5.0,350139.0,6366.0,66,Lovelace button-card for home assistant.,27,25,True,1,2.0
1,SSH & Web Terminal,hassio-addons/addon-ssh,https://github.com/hassio-addons/addon-ssh/blob/main/ssh/DOCS.md,community-addons,,https://github.com/hassio-addons/addon-ssh,https://github.com/hassio-addons/addon-ssh,MIT,2017-08-19 20:50:36,2023-04-06 17:22:25,2023-04-06 17:22:05,771,32.0,72,11,301,3,212,225,2023-03-26 19:25:37,13.1.0,,,100,SSH & Web Terminal - Home Assistant Community Add-ons.,27,19,True,1,
2,lovelace_gen,thomasloven/hass-lovelace_gen,https://github.com/thomasloven/hass-lovelace_gen,custom-integrations,hacs,https://github.com/thomasloven/hass-lovelace_gen,https://github.com/thomasloven/hass-lovelace_gen,MIT,2019-08-06 17:37:55,2022-10-20 21:24:20,2022-05-29 19:01:03,20,,19,8,10,15,22,156,2021-04-09 11:56:09,0.1.1,,,7,Improve the lovelace yaml parser for Home Assistant.,5,11,True,1,
