,name,github_id,docs_url,category,label,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,new_addition,recent_commit_count
0,Lovelace button-card,custom-cards/button-card,https://github.com/custom-cards/button-card,custom-cards,hacs,https://github.com/custom-cards/button-card,https://github.com/custom-cards/button-card,MIT,2018-08-26 15:50:44,2022-11-03 14:37:19,2021-02-17 21:10:48,252,164,44,137,143,352,1247,2021-02-17 20:57:47,3.4.2,294269.0,5769.0,64,Lovelace button-card for home assistant.,26,23,False,1,True,
1,SSH & Web Terminal,hassio-addons/addon-ssh,https://github.com/hassio-addons/addon-ssh/blob/main/ssh/DOCS.md,community-addons,,https://github.com/hassio-addons/addon-ssh,https://github.com/hassio-addons/addon-ssh,MIT,2017-08-19 20:50:36,2022-11-20 07:32:41,2022-11-15 12:59:01,728,72,11,256,2,199,204,2022-11-15 16:57:47,12.1.3,,,100,SSH & Web Terminal - Home Assistant Community Add-ons.,25,19,True,1,,26.0
2,lovelace_gen,thomasloven/hass-lovelace_gen,https://github.com/thomasloven/hass-lovelace_gen,custom-integrations,hacs,https://github.com/thomasloven/hass-lovelace_gen,https://github.com/thomasloven/hass-lovelace_gen,MIT,2019-08-06 17:37:55,2022-10-20 21:24:20,2022-05-29 19:01:03,20,19,6,10,14,20,142,2021-04-09 11:56:09,0.1.1,,,7,Improve the lovelace yaml parser for Home Assistant.,5,10,True,1,,
