,name,github_id,category,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,license
18,developers.home-assistant,home-assistant/developers.home-assistant,information,Developers website for Home Assistant.,https://github.com/home-assistant/developers.home-assistant,https://github.com/home-assistant/developers.home-assistant,2018-04-23 18:53:01,2023-04-16 17:59:01,2023-04-15 01:07:30,1846,90.0,666,36,1649.0,28.0,65,196,,,,,,,,371.0,18,True,3,True,
19,awesome-home-assistant,frenck/awesome-home-assistant,information,A curated list of amazingly awesome Home Assistant resources.,https://github.com/frenck/awesome-home-assistant,https://github.com/frenck/awesome-home-assistant,2018-07-30 17:48:40,2023-04-14 07:53:45,2023-04-11 06:12:32,419,16.0,297,150,448.0,3.0,15,4601,,,,,,,,76.0,17,True,3,True,CC-BY-4.0
20,CCOSTAN Home-AssistantConfig,CCOSTAN/Home-AssistantConfig,configurations,"Home Assistant configuration & Documentation for my Smart House. Write-ups, videos, part lists, and links throughout...",https://github.com/CCOSTAN/Home-AssistantConfig,https://github.com/CCOSTAN/Home-AssistantConfig,2016-10-11 16:15:41,2023-04-18 19:37:00,2023-04-18 19:36:59,1281,3.0,479,214,37.0,210.0,1022,4293,,,,,,,,19.0,17,True,2,True,
21,hass-configurator,danielperna84/hass-configurator,community-addons,Configuration UI for Home Assistant.,https://github.com/danielperna84/hass-configurator,https://github.com/danielperna84/hass-configurator,2017-01-21 10:22:19,2022-11-08 21:33:16,2022-11-08 21:31:38,609,,167,27,84.0,13.0,138,270,2022-11-08 21:33:16,0.5.2,,,39.0,,,17.0,17,True,3,True,MIT
22,pnbruckner homeassistant-config,pnbruckner/homeassistant-config,configurations,Home Assistant Configuration.,https://github.com/pnbruckner/homeassistant-config,https://github.com/pnbruckner/homeassistant-config,2018-05-25 14:16:20,2023-04-16 10:21:47,2023-04-02 14:18:13,296,35.0,300,35,77.0,4.0,80,163,,,,,,,,3.0,16,True,2,True,Unlicense
23,frenck home-assistant-config,frenck/home-assistant-config,configurations,"My Home Assistant configuration, a bit different that others :) Be sure to :star2: this repository for updates!.",https://github.com/frenck/home-assistant-config,https://github.com/frenck/home-assistant-config,2018-03-12 10:55:18,2023-04-13 17:16:57,2023-04-13 17:16:55,890,2.0,175,130,56.0,1.0,40,1592,,,,,,,,18.0,15,True,2,True,MIT
24,Remote Home Assistant,custom-components/remote_homeassistant,custom-integrations,Links multiple home-assistant instances together.,https://github.com/custom-components/remote_homeassistant,https://github.com/custom-components/remote_homeassistant,2018-10-09 17:40:09,2023-04-11 08:59:58,2023-01-09 22:27:42,97,,57,35,53.0,58.0,117,622,2023-01-09 22:29:14,3.8,,,13.0,,,18.0,15,True,3,True,Apache-2.0
25,geekofweek homeassistant,geekofweek/homeassistant,configurations,Example Home Assistant Configs.,https://github.com/geekofweek/homeassistant,https://github.com/geekofweek/homeassistant,2016-04-20 21:21:15,2023-04-18 23:57:49,2023-04-18 23:57:49,1222,41.0,138,92,8.0,,14,1165,,,,,,,,5.0,14,True,3,True,
26,ha-floorplan,pkozul/ha-floorplan,custom-cards,Floorplan for Home Assistant.,https://github.com/pkozul/ha-floorplan,https://github.com/pkozul/ha-floorplan,2017-05-15 02:28:33,2021-01-25 08:15:58,2021-01-25 08:15:55,225,,222,132,35.0,,70,1652,,,,,,,,10.0,13,False,3,True,
27,JamesMcCarthy79 Home-Assistant-Config,JamesMcCarthy79/Home-Assistant-Config,configurations,Home Assistant Configuration & Documentation for my Smart House.,https://github.com/JamesMcCarthy79/Home-Assistant-Config,https://github.com/JamesMcCarthy79/Home-Assistant-Config,2018-05-24 20:08:01,2020-10-01 14:04:47,2020-06-01 08:30:02,849,,156,128,3.0,28.0,127,1277,,,,,,,,2.0,12,False,3,True,
28,.homeassistant,Yonsm/.homeassistant,configurations,Home Assistant Extras for Yonsm.,https://github.com/Yonsm/.homeassistant,https://github.com/Yonsm/.homeassistant,2018-01-08 05:00:07,2023-04-10 09:22:28,2023-04-10 09:22:24,186,8.0,134,30,1.0,18.0,6,399,,,,,,,,,11,True,3,True,
29,lovelace_gen,thomasloven/hass-lovelace_gen,custom-integrations,Improve the lovelace yaml parser for Home Assistant.,https://github.com/thomasloven/hass-lovelace_gen,https://github.com/thomasloven/hass-lovelace_gen,2019-08-06 17:37:55,2022-10-20 21:24:20,2022-05-29 19:01:03,20,,19,8,10.0,16.0,22,158,2021-04-09 11:56:09,0.1.1,,,7.0,,,5.0,11,True,3,,MIT
30,hass-config-lajv,lukevink/hass-config-lajv,configurations,Home Assistant Configuration.,https://github.com/lukevink/hass-config-lajv,https://github.com/lukevink/hass-config-lajv,2020-02-06 10:57:53,2021-06-15 22:24:56,2021-05-11 09:34:25,48,,158,58,1.0,6.0,20,843,,,,,,,,,10,False,3,True,
31,SWAKES_hassio,pqpxo/SWAKES_hassio,configurations,Home Assistant.,https://github.com/pqpxo/SWAKES_hassio,https://github.com/pqpxo/SWAKES_hassio,2020-07-17 19:19:51,2023-02-03 22:35:49,2023-02-03 22:35:49,79,4.0,65,54,,2.0,9,590,,,,,,,,,10,True,3,True,
